expert_id,nickname,gender,spams,nays,yays,votes_sum,negative,positive,negative_overlap,spam_time,nay_time,yay_time
4,Crocus,male,9,85,149,243,94,88,87,137.875,96.8266666666667,101.53125
13,Cactus,male,3,22,2,27,25,2,16,171.666666666667,97.0,28.5
21,Buttercup,male,5,82,28,115,87,21,69,28.4,31.0123456790123,22.814814814814802
12,Gladiolus,male,0,71,14,85,71,11,47,,43.1029411764706,40.0
24,Fern,male,7,15,7,29,22,6,11,90.2,210.85714285714297,221.0
15,Mint,female,1,120,95,216,121,65,101,28.0,18.4224137931034,20.4252873563218
22,Poppy,male,1,32,12,45,33,5,29,11.0,46.448275862068996,25.25
16,Rose,female,0,30,16,46,30,11,23,,66.1785714285714,61.875
11,Violet,female,2,18,16,36,20,13,13,28.0,50.1176470588235,68.0
23,Tulip,male,19,135,69,223,154,57,115,63.6470588235294,47.07518796992479,58.8405797101449
14,Daisy,female,6,59,164,229,65,84,60,96.2,87.4406779661017,50.18125
20,Chamomile,female,0,25,20,45,25,16,20,,123.833333333333,92.8421052631579
19,Hyacinth,male,0,29,9,38,29,6,23,,84.08,57.125
17,Petunia,female,1,3,4,8,4,2,3,30.0,57.5,151.0
18,Peony,male,0,22,18,40,22,8,17,,39.6818181818182,41.25
25,Iris,male,3,165,52,220,168,40,126,63.5,46.049382716049394,76.78
