expert_id,gender,vote_date,spams,nays,yays
2,female,2019-10-07,0,1,0
2,female,2019-10-09,1,0,0
4,male,2019-11-03,1,1,7
4,male,2019-11-04,0,0,3
4,male,2019-10-11,0,4,6
4,male,2019-10-14,4,33,58
4,male,2019-10-15,1,26,40
4,male,2019-10-16,2,14,24
4,male,2019-10-17,0,1,0
4,male,2019-10-19,1,0,1
4,male,2019-10-22,0,1,0
4,male,2019-10-23,0,0,1
4,male,2019-10-25,0,0,3
4,male,2019-10-28,0,1,1
4,male,2019-10-30,0,4,3
4,male,2019-11-05,0,0,2
11,female,2019-10-09,2,18,16
12,male,2019-10-22,0,52,10
12,male,2019-11-05,0,7,1
12,male,2019-10-09,0,12,3
13,male,2019-10-10,1,7,1
13,male,2019-11-10,0,3,0
13,male,2019-10-09,2,12,1
14,female,2019-11-07,1,31,139
14,female,2019-10-12,4,21,14
14,female,2019-10-13,1,7,11
15,female,2019-10-11,0,9,7
15,female,2019-10-19,0,11,3
15,female,2019-10-09,0,5,8
15,female,2019-10-20,0,5,3
15,female,2019-10-14,0,3,12
15,female,2019-10-28,0,1,1
15,female,2019-11-05,0,27,15
15,female,2019-10-24,0,4,1
15,female,2019-10-25,0,4,4
15,female,2019-11-11,0,39,27
15,female,2019-11-08,1,12,14
16,female,2019-11-05,0,21,9
16,female,2019-10-17,0,9,7
17,female,2019-10-24,0,0,2
17,female,2019-10-23,0,0,1
17,female,2019-10-30,1,3,1
18,male,2019-11-09,0,11,14
18,male,2019-10-10,0,11,4
19,male,2019-10-17,0,1,2
19,male,2019-10-14,0,3,1
19,male,2019-10-09,0,11,1
19,male,2019-11-08,0,1,0
19,male,2019-10-10,0,13,5
20,female,2019-10-17,0,25,20
21,male,2019-11-11,5,78,24
21,male,2019-10-14,0,4,4
22,male,2019-11-01,0,4,2
22,male,2019-10-28,0,1,1
22,male,2019-10-29,0,2,2
22,male,2019-10-30,0,2,2
22,male,2019-11-02,1,7,2
22,male,2019-11-06,0,16,3
23,male,2019-11-04,1,0,0
23,male,2019-10-26,18,134,69
23,male,2019-10-28,0,1,0
24,male,2019-11-11,4,10,4
24,male,2019-11-01,3,5,3
25,male,2019-10-25,1,0,0
25,male,2019-10-27,0,10,4
25,male,2019-10-12,1,23,16
25,male,2019-10-16,0,8,10
25,male,2019-11-10,1,124,22
